ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_Rating,Cost_of_the_Product,Prior_purchases,Order_Priority,Gender,Discount,Weight_in_grams,Arrived_on_schedule,Order_Date,Time
1,D,Flight,4,2,177,3,low,Female,44,1233,1,02-01-2022,10:56:33
2,F,Flight,4,5,216,2,low,Male,59,3088,1,24-07-2022,20:41:37
3,A,Flight,2,2,183,4,low,Male,48,3374,1,08-11-2022,8:38:49
4,B,Flight,3,3,176,4,medium,Male,10,1177,1,18-04-2022,19:28:06
5,C,Flight,2,2,184,3,medium,Female,46,2484,1,13-08-2022,21:18:39
6,F,Flight,3,1,162,3,medium,Female,12,1417,1,09-07-2022,21:57:05
7,D,Flight,3,4,250,3,low,Female,3,2371,1,16-05-2022,13:10:30
8,F,Flight,4,1,233,2,low,Female,48,2804,1,23-06-2022,18:29:09
9,A,Flight,3,4,150,3,low,Female,11,1861,1,29-07-2022,11:55:02
10,B,Flight,3,2,164,3,medium,Female,29,1187,1,16-05-2022,19:41:10
11,C,Flight,3,4,189,2,medium,Male,12,2888,1,13-07-2022,19:58:11
12,F,Flight,4,5,232,3,medium,Female,32,3253,1,07-10-2022,10:06:19
13,D,Flight,3,5,198,3,medium,Female,1,3667,1,25-07-2022,17:44:10
14,F,Flight,4,4,275,3,high,Male,29,2602,1,01-12-2022,14:14:28
15,A,Flight,4,3,152,3,low,Male,43,1009,1,07-10-2022,19:03:12
16,B,Flight,4,3,227,3,low,Female,45,2707,1,02-06-2022,19:00:43
17,C,Flight,3,4,143,2,medium,Female,6,1194,1,26-03-2022,23:41:31
18,F,Ship,5,5,227,3,medium,Male,36,3952,1,21-04-2022,0:03:41
19,D,Ship,5,5,239,3,high,Male,18,2495,1,26-01-2022,15:54:26
20,F,Ship,4,5,145,3,medium,Male,45,1059,1,18-02-2022,14:31:30
21,A,Ship,3,3,161,2,medium,Female,38,1521,1,15-12-2022,8:52:40
22,B,Ship,3,1,232,4,medium,Female,51,2899,1,03-08-2022,20:37:35
23,C,Ship,2,5,156,2,low,Male,2,1750,1,08-06-2022,7:55:29
24,F,Ship,4,3,211,3,high,Male,12,3922,1,09-11-2022,11:44:40
